Sample in Buffer,Sample in Window,TRIGGER,design_1_i/lepton_if_0_sclk,design_1_i/lepton_if_0_ss,design_1_i/miso_0_1,design_1_i/reset_0_1,design_1_i/spi_master_0_line_val,design_1_i/spi_master_0_enb,design_1_i/spi_master_0_line_out[7:0],design_1_i/spi_master_0_seg_num[0:3],design_1_i/spi_master_0_shift_reg[0:15],design_1_i/spi_master_0_dinb[31:0],design_1_i/spi_master_0_current_state_wire[3:0],design_1_i/spi_master_0_web[3:0],design_1_i/spi_master_0_rstb
313,57,0,0,0,0,0,0,0,40,0101,0001000000010100,b8100000,2,0,0
314,58,0,0,0,0,0,0,0,40,0101,0001000000010100,b8100000,2,0,0
315,59,0,0,0,1,0,0,0,40,0101,0001000000010100,b8100000,2,0,0
316,60,0,1,0,1,0,0,0,40,0101,1000100000001010,b8100000,2,0,0
317,61,0,1,0,1,0,0,0,40,0101,1000100000001010,b8100000,2,0,0
318,62,0,0,0,1,0,0,0,40,0101,1000100000001010,b8100000,2,0,0
319,63,0,0,0,1,0,0,0,40,0101,1000100000001010,b8100000,2,0,0
320,0,0,1,0,1,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
321,1,0,1,0,1,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
322,2,0,0,0,1,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
323,3,0,0,0,1,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
324,4,0,0,0,0,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
325,5,0,1,0,0,0,0,0,41,0101,0101000000001011,b8100000,1,0,0
326,6,0,1,0,0,0,0,0,41,0101,0101000000001011,b8100000,1,0,0
327,7,0,0,0,0,0,0,0,41,0101,0101000000001011,b8100000,1,0,0
328,8,0,0,0,0,0,0,0,41,0101,0101000000001011,b8100000,1,0,0
329,9,0,0,0,0,0,0,0,41,0101,0101000000001011,b8100000,1,0,0
330,10,0,1,0,0,0,0,0,41,0101,0010100000000101,b8100000,1,0,0
331,11,0,1,0,0,0,0,0,41,0101,0010100000000101,b8100000,1,0,0
332,12,0,0,0,0,0,0,0,41,0101,0010100000000101,b8100000,1,0,0
333,13,0,0,0,0,0,0,0,41,0101,0010100000000101,b8100000,1,0,0
334,14,0,0,0,0,0,0,0,41,0101,0010100000000101,b8100000,1,0,0
335,15,1,1,0,0,0,1,0,40,0101,0001010000000010,b8100000,2,0,0
336,16,0,1,0,0,0,1,0,40,0101,0001010000000010,b8100000,2,0,0
337,17,0,0,0,0,0,1,0,40,0101,0001010000000010,b8100000,2,0,0
338,18,0,0,0,0,0,1,0,40,0101,0001010000000010,b8100000,2,0,0
339,19,0,0,0,0,0,1,0,40,0101,0001010000000010,b8100000,2,0,0
340,20,0,1,0,0,0,0,0,40,0101,0000101000000001,b8100000,2,0,0
341,21,0,1,0,0,0,0,0,40,0101,0000101000000001,b8100000,2,0,0
342,22,0,0,0,0,0,0,0,40,0101,0000101000000001,b8100000,2,0,0
343,23,0,0,0,0,0,0,0,40,0101,0000101000000001,b8100000,2,0,0
344,24,0,0,0,0,0,0,0,40,0101,0000101000000001,b8100000,2,0,0
345,25,0,1,0,0,0,0,0,40,0101,0000010100000000,b8100000,2,0,0
346,26,0,1,0,0,0,0,0,40,0101,0000010100000000,b8100000,2,0,0
347,27,0,0,0,0,0,0,0,40,0101,0000010100000000,b8100000,2,0,0
348,28,0,0,0,0,0,0,0,40,0101,0000010100000000,b8100000,2,0,0
349,29,0,0,0,0,0,0,0,40,0101,0000010100000000,b8100000,2,0,0
350,30,0,1,0,0,0,0,0,40,0101,0000001010000000,b8100000,2,0,0
351,31,0,1,0,0,0,0,0,40,0101,0000001010000000,b8100000,2,0,0
352,32,0,0,0,0,0,0,0,40,0101,0000001010000000,b8100000,2,0,0
353,33,0,0,0,0,0,0,0,40,0101,0000001010000000,b8100000,2,0,0
354,34,0,0,0,0,0,0,0,40,0101,0000001010000000,b8100000,2,0,0
355,35,0,1,0,0,0,0,0,40,0101,0000000101000000,b8100000,2,0,0
356,36,0,1,0,0,0,0,0,40,0101,0000000101000000,b8100000,2,0,0
357,37,0,0,0,0,0,0,0,40,0101,0000000101000000,b8100000,2,0,0
358,38,0,0,0,0,0,0,0,40,0101,0000000101000000,b8100000,2,0,0
359,39,0,0,0,1,0,0,0,40,0101,0000000101000000,b8100000,2,0,0
360,40,0,1,0,1,0,0,0,40,0101,1000000010100000,b8100000,2,0,0
361,41,0,1,0,1,0,0,0,40,0101,1000000010100000,b8100000,2,0,0
362,42,0,0,0,1,0,0,0,40,0101,1000000010100000,b8100000,2,0,0
363,43,0,0,0,1,0,0,0,40,0101,1000000010100000,b8100000,2,0,0
364,44,0,0,0,0,0,0,0,40,0101,1000000010100000,b8100000,2,0,0
365,45,0,1,0,0,0,0,0,40,0101,0100000001010000,b8100000,2,0,0
366,46,0,1,0,0,0,0,0,40,0101,0100000001010000,b8100000,2,0,0
367,47,0,0,0,0,0,0,0,40,0101,0100000001010000,b8100000,2,0,0
368,48,0,0,0,0,0,0,0,40,0101,0100000001010000,b8100000,2,0,0
369,49,0,0,0,0,0,0,0,40,0101,0100000001010000,b8100000,2,0,0
370,50,0,1,0,0,0,0,0,40,0101,0010000000101000,b8100000,2,0,0
371,51,0,1,0,0,0,0,0,40,0101,0010000000101000,b8100000,2,0,0
372,52,0,0,0,0,0,0,0,40,0101,0010000000101000,b8100000,2,0,0
373,53,0,0,0,0,0,0,0,40,0101,0010000000101000,b8100000,2,0,0
374,54,0,0,0,1,0,0,0,40,0101,0010000000101000,b8100000,2,0,0
375,55,0,1,0,1,0,0,0,40,0101,1001000000010100,b8100000,2,0,0
376,56,0,1,0,1,0,0,0,40,0101,1001000000010100,b8100000,2,0,0
377,57,0,0,0,1,0,0,0,40,0101,1001000000010100,b8100000,2,0,0
378,58,0,0,0,1,0,0,0,40,0101,1001000000010100,b8100000,2,0,0
379,59,0,0,0,0,0,0,0,40,0101,1001000000010100,b8100000,2,0,0
380,60,0,1,0,0,0,0,0,40,0101,0100100000001010,b8100000,2,0,0
381,61,0,1,0,0,0,0,0,40,0101,0100100000001010,b8100000,2,0,0
382,62,0,0,0,0,0,0,0,40,0101,0100100000001010,b8100000,2,0,0
383,63,0,0,0,0,0,0,0,40,0101,0100100000001010,b8100000,2,0,0
