Sample in Buffer,Sample in Window,TRIGGER,design_1_i/lepton_if_0_sclk,design_1_i/lepton_if_0_ss,design_1_i/miso_0_1,design_1_i/reset_0_1,design_1_i/spi_master_0_line_val,design_1_i/spi_master_0_enb,design_1_i/spi_master_0_line_out[7:0],design_1_i/spi_master_0_seg_num[0:3],design_1_i/spi_master_0_shift_reg[0:15],design_1_i/spi_master_0_dinb[31:0],design_1_i/spi_master_0_current_state_wire[3:0],design_1_i/spi_master_0_web[3:0],design_1_i/spi_master_0_rstb
0,0,0,1,0,1,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
1,1,0,1,0,1,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
2,2,0,0,0,1,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
3,3,0,0,0,1,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
4,4,0,0,0,0,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
5,5,0,1,0,0,0,0,0,41,0101,0101000000001011,b8100000,1,0,0
6,6,0,1,0,0,0,0,0,41,0101,0101000000001011,b8100000,1,0,0
7,7,0,0,0,0,0,0,0,41,0101,0101000000001011,b8100000,1,0,0
8,8,0,0,0,0,0,0,0,41,0101,0101000000001011,b8100000,1,0,0
9,9,0,0,0,0,0,0,0,41,0101,0101000000001011,b8100000,1,0,0
